id_candidate, no_trial, num_subtrial, ans_candidate, good_ans, correct, reaction_time, time_stamp
Test, 0, 0, p, p, True, 0.31, 6.89
Test, 0, 2, a, p, False, 0.32, 9.31
Test, 0, 1, p, p, True, 0.41, 11.81
Test, 0, 4, a, a, True, 0.45, 14.36
Test, 0, 3, p, p, True, 0.38, 16.82
Test, 1, 0, a, p, False, 0.41, 19.32
Test, 1, 1, p, p, True, 0.38, 21.8
Test, 1, 4, a, a, True, 0.29, 24.18
Test, 1, 2, p, p, True, 0.27, 26.54
Test, 1, 3, a, p, False, 0.37, 29.0
Test, 2, 3, p, p, True, 0.32, 31.41
Test, 2, 0, a, p, False, 0.27, 33.77
Test, 2, 1, p, p, True, 0.25, 36.11
