id_candidate, no_trial, num_subtrial, ans_candidate, good_ans, correct, reaction_time, time_stamp
fe, 0, 3, p, p, True, 3.4, 9.43
fe, 0, 4, p, a, False, 3.43, 13.51
fe, 0, 1, p, p, True, 0.96, 15.1
fe, 0, 2, p, p, True, 1.07, 16.8
fe, 0, 0, p, p, True, 0.83, 18.27
fe, 1, 2, p, p, True, 0.62, 19.52
fe, 1, 0, p, p, True, 0.73, 20.88
fe, 1, 3, p, p, True, 0.94, 22.45
fe, 1, 1, p, p, True, 0.55, 23.65
fe, 1, 4, a, a, True, 0.86, 25.14
fe, 2, 1, p, p, True, 0.67, 26.44
fe, 2, 3, p, p, True, 0.86, 27.94
fe, 2, 2, p, p, True, 0.85, 29.42
fe, 2, 4, a, a, True, 0.76, 30.82
fe, 2, 0, p, p, True, 0.55, 32.0
fe, 3, 3, p, p, True, 0.55, 33.18
fe, 3, 1, p, p, True, 0.8, 34.61
fe, 3, 4, p, a, False, 1.73, 36.98
fe, 3, 2, p, p, True, 1.25, 38.86
fe, 3, 0, p, p, True, 0.63, 40.13
fe, 4, 2, p, p, True, 1.44, 42.22
fe, 4, 3, p, p, True, 0.7, 43.55
fe, 4, 1, p, p, True, 0.89, 45.07
fe, 4, 0, p, p, True, 0.6, 46.31
fe, 4, 4, a, a, True, 0.75, 47.69
fe, 5, 0, p, p, True, 1.38, 49.7
fe, 5, 1, a, p, False, 1.28, 51.61
fe, 5, 2, p, p, True, 1.05, 53.29
fe, 5, 3, p, p, True, 0.6, 54.53
fe, 5, 4, a, a, True, 0.75, 55.91
fe, 6, 1, p, p, True, 1.37, 57.91
fe, 6, 3, p, p, True, 0.88, 59.43
fe, 6, 0, p, p, True, 0.6, 60.67
fe, 6, 2, p, p, True, 1.1, 62.4
fe, 6, 4, a, a, True, 0.58, 63.61
fe, 7, 4, a, a, True, 1.05, 65.29
fe, 7, 2, p, p, True, 0.91, 66.83
fe, 7, 1, p, p, True, 2.0, 69.46
fe, 7, 3, p, p, True, 0.89, 70.98
fe, 7, 0, a, p, False, 0.78, 72.39
fe, 8, 4, a, a, True, 0.81, 73.83
fe, 8, 3, p, p, True, 0.65, 75.11
fe, 8, 0, p, p, True, 1.06, 76.81
fe, 8, 1, p, p, True, 1.59, 79.03
fe, 8, 2, p, p, True, 0.82, 80.48
fe, 9, 1, a, p, False, 1.39, 82.5
fe, 9, 3, a, p, False, 1.23, 84.36
fe, 9, 4, a, a, True, 5.87, 90.86
fe, 9, 2, a, p, False, 2.26, 93.75
fe, 9, 0, a, p, False, 1.22, 95.61
fe, 10, 1, p, p, True, 0.75, 96.99
fe, 10, 0, p, p, True, 0.79, 98.41
fe, 10, 4, a, a, True, 0.98, 100.02
fe, 10, 3, p, p, True, 0.69, 101.34
fe, 10, 2, p, p, True, 1.12, 103.09
fe, 11, 4, a, a, True, 0.8, 104.52
fe, 11, 1, a, p, False, 0.8, 105.95
fe, 11, 2, a, p, False, 0.82, 107.41
fe, 11, 3, a, p, False, 0.6, 108.63
fe, 11, 0, p, p, True, 1.49, 110.75
fe, 12, 4, a, a, True, 0.72, 112.11
fe, 12, 1, p, p, True, 1.05, 113.79
fe, 12, 2, a, p, False, 2.33, 116.75
fe, 12, 3, p, p, True, 1.71, 119.09
fe, 12, 0, a, p, False, 0.9, 120.62
fe, 13, 4, a, a, True, 0.72, 121.96
fe, 13, 0, a, p, False, 0.82, 123.42
fe, 13, 2, a, p, False, 0.87, 124.91
fe, 13, 1, a, p, False, 0.7, 126.25
fe, 13, 3, a, p, False, 0.64, 127.52
fe, 14, 2, a, p, False, 0.67, 128.83
fe, 14, 3, a, p, False, 0.54, 130.0
fe, 14, 4, a, a, True, 0.76, 131.39
fe, 14, 0, a, p, False, 0.52, 132.54
fe, 14, 1, a, p, False, 1.02, 134.2
fe, 15, 1, a, p, False, 0.9, 135.73
fe, 15, 3, a, p, False, 0.46, 136.83
fe, 15, 4, a, a, True, 0.89, 138.34
fe, 15, 0, a, p, False, 0.68, 139.65
fe, 15, 2, a, p, False, 0.65, 140.93
fe, 16, 1, a, p, False, 0.52, 142.09
fe, 16, 0, a, p, False, 0.5, 143.22
fe, 16, 3, a, p, False, 0.56, 144.4
fe, 16, 2, a, p, False, 0.45, 145.48
fe, 16, 4, a, a, True, 0.68, 146.78
fe, 17, 3, a, p, False, 0.54, 147.95
fe, 17, 0, a, p, False, 0.46, 149.05
fe, 17, 1, a, p, False, 0.39, 150.07
fe, 17, 2, a, p, False, 0.6, 151.3
fe, 17, 4, a, a, True, 0.57, 152.49
fe, 18, 0, a, p, False, 0.39, 153.52
fe, 18, 4, a, a, True, 0.46, 154.61
fe, 18, 3, a, p, False, 0.56, 155.8
fe, 18, 1, a, p, False, 0.45, 156.88
fe, 18, 2, a, p, False, 0.37, 157.88
fe, 19, 3, a, p, False, 0.5, 159.01
fe, 19, 4, a, a, True, 0.26, 159.9
fe, 19, 1, a, p, False, 0.68, 161.22
fe, 19, 2, a, p, False, 0.3, 162.15
fe, 19, 0, a, p, False, 0.36, 163.15
