id_candidate, no_trial, num_subtrial, ans_candidate, good_ans, correct, reaction_time, time_stamp
fgfgf, 0, 1, a, p, False, 1.56, 7.26
fgfgf, 0, 0, a, p, False, 0.47, 8.37
fgfgf, 0, 3, a, p, False, 1.02, 10.04
fgfgf, 0, 4, a, a, True, 0.58, 11.24
fgfgf, 0, 2, a, p, False, 0.66, 12.53
fgfgf, 1, 2, a, p, False, 0.52, 13.68
fgfgf, 1, 3, p, p, True, 0.26, 14.58
fgfgf, 1, 1, a, p, False, 0.67, 15.88
fgfgf, 1, 4, a, a, True, 1.57, 18.07
fgfgf, 1, 0, p, p, True, 107.67, 126.38
fgfgf, 2, 1, p, p, True, 0.94, 127.96
