TimeStamp	GazePointXLeft	GazePointYLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	PupilRight	ValidityRight	GazePointX	GazePointY
0.0	-0.0000	-0.0599	4.3334	1	nan	nan	nan	0	-0.0000	-0.0599
3.3	nan	nan	nan	0	nan	nan	nan	0	nan	nan
6.7	nan	nan	nan	0	nan	nan	nan	0	nan	nan
10.1	nan	nan	nan	0	nan	nan	nan	0	nan	nan
13.3	nan	nan	nan	0	nan	nan	nan	0	nan	nan
16.7	nan	nan	nan	0	nan	nan	nan	0	nan	nan
20.0	nan	nan	nan	0	nan	nan	nan	0	nan	nan
23.4	nan	nan	nan	0	nan	nan	nan	0	nan	nan
26.6	0.0019	-0.0539	4.3050	1	nan	nan	nan	0	0.0019	-0.0539
30.0	0.0016	-0.0559	4.3043	1	nan	nan	nan	0	0.0016	-0.0559
33.3	0.0000	-0.0547	4.2973	1	nan	nan	nan	0	0.0000	-0.0547
36.7	-0.0000	-0.0531	4.2921	1	nan	nan	nan	0	-0.0000	-0.0531
40.0	0.0015	-0.0559	4.2926	1	nan	nan	nan	0	0.0015	-0.0559
43.3	0.0007	-0.0512	4.2834	1	nan	nan	nan	0	0.0007	-0.0512
46.7	0.0030	-0.0521	4.2904	1	nan	nan	nan	0	0.0030	-0.0521
50.0	0.0016	-0.0509	4.2852	1	nan	nan	nan	0	0.0016	-0.0509
53.4	0.0019	-0.0508	4.2910	1	nan	nan	nan	0	0.0019	-0.0508
56.7	0.0026	-0.0505	4.2897	1	nan	nan	nan	0	0.0026	-0.0505
60.0	0.0003	-0.0484	4.2901	1	nan	nan	nan	0	0.0003	-0.0484
63.4	0.0021	-0.0510	4.2847	1	nan	nan	nan	0	0.0021	-0.0510
66.7	0.0052	-0.0543	4.3064	1	nan	nan	nan	0	0.0052	-0.0543
70.0	0.0025	-0.0539	4.3008	1	nan	nan	nan	0	0.0025	-0.0539
73.3	0.0038	-0.0523	4.2983	1	nan	nan	nan	0	0.0038	-0.0523
76.7	0.0045	-0.0522	4.3008	1	nan	nan	nan	0	0.0045	-0.0522
80.0	0.0017	-0.0523	4.2986	1	nan	nan	nan	0	0.0017	-0.0523
83.3	0.0039	-0.0550	4.3078	1	nan	nan	nan	0	0.0039	-0.0550
86.6	0.0050	-0.0502	4.2960	1	nan	nan	nan	0	0.0050	-0.0502
90.0	0.0036	-0.0542	4.3065	1	nan	nan	nan	0	0.0036	-0.0542
93.4	0.0035	-0.0514	4.3031	1	nan	nan	nan	0	0.0035	-0.0514
96.7	0.0041	-0.0522	4.3065	1	nan	nan	nan	0	0.0041	-0.0522
100.0	0.0045	-0.0512	4.3043	1	nan	nan	nan	0	0.0045	-0.0512
103.3	0.0051	-0.0490	4.3063	1	nan	nan	nan	0	0.0051	-0.0490
106.7	0.0042	-0.0512	4.3162	1	nan	nan	nan	0	0.0042	-0.0512
110.1	0.0032	-0.0511	4.3168	1	nan	nan	nan	0	0.0032	-0.0511
113.4	0.0071	-0.0528	4.3223	1	nan	nan	nan	0	0.0071	-0.0528
116.7	0.0039	-0.0475	4.3144	1	nan	nan	nan	0	0.0039	-0.0475
120.0	0.0067	-0.0525	4.3263	1	nan	nan	nan	0	0.0067	-0.0525
123.4	0.0055	-0.0517	4.3266	1	nan	nan	nan	0	0.0055	-0.0517
126.6	0.0063	-0.0525	4.3322	1	nan	nan	nan	0	0.0063	-0.0525
130.0	0.0049	-0.0528	4.3358	1	nan	nan	nan	0	0.0049	-0.0528
133.3	0.0064	-0.0504	4.3348	1	nan	nan	nan	0	0.0064	-0.0504
136.7	0.0075	-0.0500	4.3362	1	nan	nan	nan	0	0.0075	-0.0500
140.0	0.0076	-0.0511	4.3371	1	nan	nan	nan	0	0.0076	-0.0511
143.3	0.0052	-0.0506	4.3454	1	nan	nan	nan	0	0.0052	-0.0506
146.7	0.0044	-0.0473	4.3293	1	nan	nan	nan	0	0.0044	-0.0473
150.0	0.0076	-0.0512	4.3358	1	nan	nan	nan	0	0.0076	-0.0512
153.3	0.0049	-0.0513	4.3413	1	nan	nan	nan	0	0.0049	-0.0513
156.6	0.0042	-0.0495	4.3314	1	nan	nan	nan	0	0.0042	-0.0495
160.0	0.0025	-0.0496	4.3371	1	nan	nan	nan	0	0.0025	-0.0496
163.4	0.0039	-0.0462	4.3326	1	nan	nan	nan	0	0.0039	-0.0462
166.7	0.0036	-0.0494	4.3362	1	nan	nan	nan	0	0.0036	-0.0494
170.0	0.0014	-0.0512	4.3486	1	nan	nan	nan	0	0.0014	-0.0512
173.3	-0.0010	-0.0484	4.3421	1	nan	nan	nan	0	-0.0010	-0.0484
176.7	-0.0047	-0.0434	4.3415	1	nan	nan	nan	0	-0.0047	-0.0434
180.0	-0.0084	-0.0423	4.3380	1	nan	nan	nan	0	-0.0084	-0.0423
183.3	-0.0072	-0.0424	4.3336	1	nan	nan	nan	0	-0.0072	-0.0424
186.6	-0.0077	-0.0404	4.3325	1	nan	nan	nan	0	-0.0077	-0.0404
190.0	-0.0067	-0.0404	4.3399	1	nan	nan	nan	0	-0.0067	-0.0404
193.4	-0.0081	-0.0440	4.3452	1	nan	nan	nan	0	-0.0081	-0.0440
196.7	-0.0083	-0.0426	4.3436	1	nan	nan	nan	0	-0.0083	-0.0426
200.0	-0.0077	-0.0436	4.3429	1	nan	nan	nan	0	-0.0077	-0.0436
203.3	-0.0075	-0.0407	4.3381	1	nan	nan	nan	0	-0.0075	-0.0407
206.7	-0.0057	-0.0439	4.3539	1	nan	nan	nan	0	-0.0057	-0.0439
210.0	-0.0074	-0.0452	4.3559	1	nan	nan	nan	0	-0.0074	-0.0452
213.3	-0.0080	-0.0419	4.3531	1	nan	nan	nan	0	-0.0080	-0.0419
216.7	-0.0081	-0.0454	4.3528	1	nan	nan	nan	0	-0.0081	-0.0454
220.0	-0.0082	-0.0414	4.3484	1	nan	nan	nan	0	-0.0082	-0.0414
223.3	-0.0066	-0.0448	4.3640	1	nan	nan	nan	0	-0.0066	-0.0448
226.6	-0.0043	-0.0451	4.3755	1	nan	nan	nan	0	-0.0043	-0.0451
230.0	-0.0076	-0.0401	4.3622	1	nan	nan	nan	0	-0.0076	-0.0401
233.3	-0.0069	-0.0422	4.3588	1	nan	nan	nan	0	-0.0069	-0.0422
236.7	-0.0083	-0.0426	4.3697	1	nan	nan	nan	0	-0.0083	-0.0426
240.0	-0.0035	-0.0431	4.3819	1	nan	nan	nan	0	-0.0035	-0.0431
243.3	-0.0062	-0.0443	4.3852	1	nan	nan	nan	0	-0.0062	-0.0443
246.7	-0.0069	-0.0428	4.3923	1	nan	nan	nan	0	-0.0069	-0.0428
250.0	-0.0069	-0.0390	4.3770	1	nan	nan	nan	0	-0.0069	-0.0390
253.3	-0.0072	-0.0421	4.3823	1	nan	nan	nan	0	-0.0072	-0.0421
256.6	-0.0100	-0.0451	4.3866	1	nan	nan	nan	0	-0.0100	-0.0451
260.0	-0.0084	-0.0422	4.3926	1	nan	nan	nan	0	-0.0084	-0.0422
263.4	-0.0078	-0.0456	4.3949	1	nan	nan	nan	0	-0.0078	-0.0456
266.6	-0.0091	-0.0465	4.4027	1	nan	nan	nan	0	-0.0091	-0.0465
270.0	-0.0087	-0.0456	4.4047	1	nan	nan	nan	0	-0.0087	-0.0456
273.3	-0.0097	-0.0465	4.4057	1	nan	nan	nan	0	-0.0097	-0.0465
276.7	-0.0115	-0.0420	4.3861	1	nan	nan	nan	0	-0.0115	-0.0420
279.9	-0.0098	-0.0425	4.4064	1	nan	nan	nan	0	-0.0098	-0.0425
283.3	-0.0098	-0.0404	4.3932	1	nan	nan	nan	0	-0.0098	-0.0404
286.7	-0.0094	-0.0466	4.4083	1	nan	nan	nan	0	-0.0094	-0.0466
290.0	-0.0099	-0.0426	4.4062	1	nan	nan	nan	0	-0.0099	-0.0426
293.3	-0.0106	-0.0419	4.3964	1	nan	nan	nan	0	-0.0106	-0.0419
296.6	-0.0093	-0.0399	4.4037	1	nan	nan	nan	0	-0.0093	-0.0399
300.0	-0.0101	-0.0401	4.4001	1	nan	nan	nan	0	-0.0101	-0.0401
303.3	-0.0089	-0.0435	4.4243	1	nan	nan	nan	0	-0.0089	-0.0435
306.6	-0.0077	-0.0442	4.4184	1	nan	nan	nan	0	-0.0077	-0.0442
310.0	-0.0097	-0.0432	4.4240	1	nan	nan	nan	0	-0.0097	-0.0432
313.3	-0.0100	-0.0407	4.4138	1	nan	nan	nan	0	-0.0100	-0.0407
